Year,JPN_LL1,JPN_LL2,Por_LL1,IND_LL1,ESP_LL1,CHTAI_LL1,FRA_REU_LL1
1950,,,,,,,
1951,,,,,,,
1952,,,,,,,
1953,,,,,,,
1954,,,,,,,
1955,,,,,,,
1956,,,,,,,
1957,,,,,,,
1958,,,,,,,
1959,,,,,,,
1960,,,,,,,
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,,,,,,,
1971,1.27,,,,,,
1972,1.27,,,,,,
1973,0.91,,,,,,
1974,1.43,,,,,,
1975,1.72,,,,,,
1976,1.22,,,,,,
1977,1.59,,,,,,
1978,0.92,,,,,,
1979,1.48,,,,,,
1980,1.24,,,,,,
1981,1.17,,,,,,
1982,1.67,,,,,,
1983,0.99,,,,,,
1984,1.36,,,,,,
1985,1.25,,,,,,
1986,1.16,,,,,,
1987,1.11,,,,,,
1988,1.34,,,,,,
1989,1.19,,,,,,
1990,1.65,,,,,,
1991,1.23,,,,,,
1992,1.08,0.548371469,,,,,
1993,1.63,0.532077743,,,,,
1994,,0.543537983,,,,,
1995,,0.682901278,,,,,
1996,,1.161792226,,,,,
1997,,0.556052712,,,,,
1998,,1.175261041,,,,,
1999,,2.067324513,,,,,
2000,,1.10183672,678.3,,,,
2001,,1.004644083,752.4,,322.637,,
2002,,1.092969958,706,,294.94,,
2003,,1.23399999,695.4,,315.966,,
2004,,0.701647196,568.3,,282.047,0.3864054,
2005,,0.787721192,507.1,0.35,245.906,0.3643113,
2006,,0.70794672,570.1,0.82,228.035,0.3773132,
2007,,0.90430115,600.8,1.07,244.161,0.2668223,3.69
2008,,1.134481858,669.2,0.4,266.679,0.2289662,1.83
2009,,1.585951693,415.3,0.15,294.196,0.5105564,1.68
2010,,0.825512968,461.4,0.35,324.656,0.4121265,3.29
2011,,0.933183536,517.6,0.02,302.215,0.4794418,2.34
2012,,1.247153733,489.4,1.06,312.54,0.4090983,2.52
2013,,0.675094885,451.5,0.17,258.469,0.6200018,2.03
2014,,1.018523166,381,0.29,227.003,0.6444657,1.93
2015,,1.35577333,532.8,0.87,266.486,0.3502302,1.92
